0.00,351.61,16.13,77.42,16.13,0.00,0.00,0.00,16.13,0.00,0.00,206.45,0.00,0.00,0.00,103.23,16.13,51.61,25.81
374.19,0.00,0.00,335.48,77.42,335.48,0.00,335.48,0.00,0.00,0.00,335.48,206.45,0.00,0.00,0.00,103.23,0.00,51.61
64.52,25.81,0.00,351.61,0.00,77.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.45,0.00,0.00,0.00,103.23,0.00
12.90,387.10,361.29,0.00,0.00,0.00,412.90,0.00,335.48,0.00,0.00,0.00,335.48,0.00,206.45,0.00,0.00,0.00,103.23
116.13,0.00,51.61,25.81,0.00,351.61,16.13,77.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,206.45,0.00,0.00,0.00
0.00,438.71,0.00,51.61,838.71,0.00,335.48,0.00,77.42,335.48,0.00,0.00,0.00,335.48,0.00,0.00,206.45,0.00,0.00
0.00,0.00,103.23,335.48,529.03,361.29,0.00,16.13,0.00,77.42,335.48,0.00,0.00,0.00,335.48,0.00,0.00,206.45,0.00
0.00,335.48,0.00,103.23,477.42,51.61,25.81,0.00,335.48,335.48,77.42,0.00,0.00,0.00,0.00,335.48,0.00,0.00,206.45
219.35,0.00,0.00,335.48,103.23,0.00,51.61,361.29,0.00,16.13,351.61,77.42,16.13,0.00,0.00,0.00,335.48,0.00,0.00
0.00,206.45,0.00,0.00,0.00,438.71,0.00,387.10,503.23,0.00,335.48,0.00,77.42,0.00,0.00,0.00,0.00,335.48,0.00
0.00,0.00,206.45,0.00,0.00,0.00,438.71,0.00,864.52,361.29,0.00,16.13,0.00,77.42,0.00,0.00,0.00,0.00,335.48
0.00,335.48,0.00,206.45,0.00,0.00,0.00,103.23,477.42,51.61,25.81,0.00,335.48,335.48,77.42,335.48,0.00,0.00,0.00
12.90,0.00,0.00,335.48,206.45,0.00,0.00,0.00,103.23,0.00,51.61,361.29,0.00,16.13,351.61,77.42,335.48,0.00,0.00
0.00,0.00,0.00,0.00,0.00,541.94,0.00,0.00,0.00,103.23,0.00,387.10,503.23,0.00,335.48,0.00,77.42,335.48,0.00
0.00,0.00,0.00,0.00,0.00,0.00,541.94,0.00,0.00,0.00,103.23,0.00,864.52,361.29,0.00,16.13,0.00,77.42,335.48
0.00,0.00,0.00,0.00,0.00,0.00,0.00,541.94,0.00,0.00,0.00,438.71,477.42,51.61,25.81,0.00,335.48,335.48,77.42
90.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,541.94,0.00,0.00,0.00,438.71,0.00,51.61,361.29,0.00,16.13,351.61
0.00,77.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,541.94,0.00,0.00,0.00,438.71,0.00,387.10,503.23,0.00,335.48
0.00,0.00,77.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,541.94,0.00,0.00,0.00,438.71,0.00,864.52,361.29,0.00
