0.00,247.73,11.36,0.00,11.36,0.00,109.09,0.00,11.36,0.00,72.73,0.00,36.36,18.18
263.64,0.00,0.00,236.36,0.00,236.36,0.00,109.09,0.00,236.36,0.00,72.73,0.00,36.36
45.45,18.18,0.00,247.73,0.00,0.00,0.00,0.00,109.09,0.00,0.00,0.00,72.73,0.00
9.09,272.73,254.55,0.00,0.00,0.00,0.00,236.36,0.00,109.09,0.00,236.36,0.00,72.73
81.82,0.00,36.36,18.18,0.00,247.73,11.36,0.00,0.00,0.00,109.09,0.00,0.00,0.00
0.00,309.09,0.00,36.36,590.91,0.00,0.00,236.36,0.00,0.00,0.00,109.09,236.36,0.00
0.00,0.00,72.73,0.00,372.73,18.18,0.00,247.73,0.00,0.00,0.00,0.00,109.09,0.00
0.00,0.00,0.00,309.09,336.36,272.73,254.55,0.00,0.00,0.00,0.00,0.00,0.00,345.45
118.18,0.00,0.00,0.00,72.73,0.00,36.36,18.18,0.00,247.73,11.36,0.00,11.36,0.00
0.00,345.45,0.00,0.00,0.00,72.73,0.00,36.36,590.91,0.00,0.00,236.36,236.36,0.00
0.00,0.00,109.09,0.00,0.00,0.00,72.73,0.00,372.73,18.18,0.00,247.73,0.00,0.00
0.00,0.00,0.00,345.45,0.00,0.00,0.00,72.73,336.36,272.73,254.55,0.00,0.00,236.36
9.09,0.00,0.00,0.00,109.09,236.36,0.00,0.00,72.73,236.36,36.36,18.18,0.00,247.73
0.00,0.00,0.00,0.00,0.00,109.09,0.00,236.36,0.00,72.73,0.00,272.73,590.91,0.00
