0.00,363.33,16.67,0.00,123.33,0.00,0.00,0.00,16.67,0.00,0.00,0.00,213.33,0.00,0.00,0.00,123.33,0.00,53.33,26.67
386.67,0.00,0.00,346.67,0.00,453.33,0.00,0.00,346.67,0.00,0.00,0.00,346.67,213.33,0.00,0.00,0.00,106.67,0.00,53.33
66.67,26.67,0.00,363.33,0.00,0.00,106.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213.33,0.00,0.00,0.00,106.67,0.00
13.33,400.00,373.33,0.00,0.00,0.00,0.00,453.33,0.00,346.67,0.00,0.00,0.00,346.67,0.00,213.33,0.00,0.00,0.00,106.67
120.00,0.00,53.33,26.67,0.00,363.33,16.67,0.00,106.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213.33,0.00,0.00,0.00
0.00,453.33,0.00,53.33,866.67,0.00,0.00,346.67,0.00,106.67,346.67,0.00,0.00,0.00,346.67,0.00,0.00,213.33,0.00,0.00
0.00,0.00,106.67,0.00,546.67,26.67,0.00,363.33,0.00,0.00,106.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213.33,0.00
0.00,0.00,0.00,453.33,493.33,400.00,373.33,0.00,0.00,0.00,0.00,453.33,0.00,0.00,0.00,346.67,0.00,0.00,0.00,213.33
226.67,346.67,0.00,0.00,106.67,0.00,53.33,26.67,0.00,363.33,363.33,0.00,123.33,0.00,0.00,0.00,346.67,0.00,0.00,0.00
0.00,213.33,0.00,346.67,0.00,106.67,0.00,53.33,866.67,0.00,0.00,346.67,0.00,106.67,0.00,0.00,0.00,346.67,0.00,0.00
0.00,0.00,213.33,0.00,0.00,346.67,106.67,0.00,893.33,26.67,0.00,363.33,0.00,0.00,106.67,0.00,0.00,0.00,346.67,0.00
0.00,0.00,0.00,213.33,0.00,0.00,0.00,453.33,493.33,400.00,373.33,0.00,0.00,0.00,0.00,106.67,0.00,0.00,0.00,346.67
13.33,346.67,0.00,0.00,213.33,0.00,0.00,0.00,106.67,0.00,53.33,26.67,0.00,363.33,363.33,0.00,453.33,0.00,0.00,0.00
0.00,0.00,0.00,346.67,0.00,213.33,0.00,0.00,0.00,106.67,0.00,53.33,866.67,0.00,0.00,346.67,0.00,453.33,0.00,0.00
0.00,0.00,0.00,0.00,0.00,346.67,213.33,0.00,0.00,0.00,106.67,0.00,893.33,26.67,0.00,363.33,0.00,0.00,453.33,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,0.00,0.00,0.00,106.67,493.33,400.00,373.33,0.00,0.00,0.00,0.00,453.33
120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,0.00,0.00,0.00,453.33,0.00,53.33,26.67,0.00,363.33,363.33,0.00
0.00,106.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,0.00,0.00,0.00,453.33,0.00,53.33,866.67,0.00,0.00,346.67
0.00,0.00,106.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,0.00,0.00,0.00,453.33,0.00,893.33,26.67,0.00,363.33
0.00,0.00,0.00,106.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,0.00,0.00,0.00,453.33,493.33,400.00,373.33,0.00
