46603377.78,46603877.78,46603966.67,46603555.56,46604144.44,46603555.56,46603555.56,46603555.56,46604500.00,46603555.56,46603555.56,46603555.56,46603555.56,46603555.56,46603555.56,46603555.56
46604755.56,46603377.78,46603377.78,46603555.56,46603377.78,46603733.33,46603377.78,46603377.78,46603377.78,46604088.89,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78
46604844.44,46603377.78,46603377.78,46603700.00,46603377.78,46603377.78,46603733.33,46603377.78,46603377.78,46603377.78,46604088.89,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78
46604666.67,46603555.56,46603466.67,46603377.78,46603377.78,46603377.78,46603377.78,46603733.33,46603377.78,46603377.78,46603377.78,46604088.89,46603377.78,46603377.78,46603377.78,46603377.78
46605022.22,46603377.78,46603377.78,46603377.78,46603377.78,46603700.00,46603788.89,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46604088.89,46603377.78,46603377.78,46603377.78
46603555.56,46603733.33,46603377.78,46603377.78,46604577.78,46603377.78,46603377.78,46603555.56,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46604088.89,46603377.78,46603377.78
46603555.56,46603377.78,46603733.33,46603377.78,46604666.67,46603377.78,46603377.78,46603700.00,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46604088.89,46603377.78
46603555.56,46603377.78,46603377.78,46603733.33,46604488.89,46603555.56,46603466.67,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46604088.89
46605377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603700.00,46603788.89,46603377.78,46603966.67,46603377.78,46603377.78,46603377.78
46603555.56,46604088.89,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46604577.78,46603377.78,46603377.78,46603555.56,46603377.78,46603733.33,46603377.78,46603377.78
46603555.56,46603377.78,46604088.89,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46604666.67,46603377.78,46603377.78,46603700.00,46603377.78,46603377.78,46603733.33,46603377.78
46603555.56,46603377.78,46603377.78,46604088.89,46603377.78,46603377.78,46603377.78,46603377.78,46604488.89,46603555.56,46603466.67,46603377.78,46603377.78,46603377.78,46603377.78,46603733.33
46604666.67,46603377.78,46603377.78,46603377.78,46604088.89,46603377.78,46603377.78,46603377.78,46603733.33,46603377.78,46603377.78,46603377.78,46603377.78,46603700.00,46603788.89,46603377.78
46603555.56,46603377.78,46603377.78,46603377.78,46603377.78,46604088.89,46603377.78,46603377.78,46603377.78,46603733.33,46603377.78,46603377.78,46604577.78,46603377.78,46603377.78,46603555.56
46603555.56,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46604088.89,46603377.78,46603377.78,46603377.78,46603733.33,46603377.78,46604666.67,46603377.78,46603377.78,46603700.00
46603555.56,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46603377.78,46604088.89,46603377.78,46603377.78,46603377.78,46603733.33,46604488.89,46603555.56,46603466.67,46603377.78
