0.00,236.96,10.87,0.00,10.87,86.96,0.00,0.00,10.87,69.57,0.00,34.78,17.39
252.17,0.00,0.00,226.09,0.00,226.09,86.96,0.00,0.00,226.09,69.57,0.00,34.78
43.48,17.39,0.00,236.96,0.00,0.00,0.00,86.96,0.00,0.00,0.00,69.57,0.00
8.70,260.87,243.48,0.00,0.00,0.00,0.00,226.09,86.96,0.00,226.09,0.00,69.57
78.26,0.00,34.78,17.39,0.00,236.96,10.87,0.00,0.00,86.96,0.00,0.00,0.00
0.00,295.65,0.00,34.78,565.22,0.00,0.00,226.09,0.00,0.00,86.96,226.09,0.00
0.00,0.00,69.57,0.00,356.52,17.39,0.00,236.96,0.00,0.00,0.00,86.96,0.00
0.00,0.00,0.00,295.65,321.74,260.87,243.48,0.00,0.00,0.00,0.00,0.00,313.04
95.65,0.00,0.00,0.00,69.57,0.00,34.78,17.39,0.00,236.96,10.87,0.00,10.87
0.00,313.04,0.00,0.00,0.00,69.57,0.00,34.78,565.22,0.00,226.09,226.09,0.00
0.00,0.00,86.96,226.09,0.00,0.00,69.57,0.00,356.52,243.48,0.00,10.87,226.09
0.00,0.00,0.00,86.96,0.00,226.09,0.00,69.57,321.74,260.87,17.39,0.00,226.09
8.70,0.00,0.00,0.00,86.96,0.00,0.00,226.09,69.57,0.00,260.87,243.48,0.00
