0.00,32069367.02,90.43,0.00,90.43,0.00,21840510.64,0.00,158.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.51,0.00,0.00,0.00,34.04,0.00,17.02,8.51
32070140.43,0.00,32069021.28,255.32,0.00,255.32,0.00,22502723.40,0.00,323.40,0.00,0.00,0.00,0.00,0.00,0.00,255.32,68.09,0.00,0.00,0.00,34.04,0.00,17.02
21.28,32069880.85,0.00,32069367.02,0.00,0.00,0.00,0.00,22502723.40,0.00,68.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.09,0.00,0.00,0.00,34.04,0.00
4.26,272.34,32070136.17,0.00,32069021.28,0.00,0.00,255.32,0.00,22502723.40,0.00,323.40,0.00,0.00,0.00,0.00,0.00,255.32,0.00,68.09,0.00,0.00,0.00,34.04
38.30,0.00,17.02,32069880.85,0.00,32069367.02,90.43,0.00,0.00,0.00,20457021.28,0.00,68.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.09,0.00,0.00,0.00
0.00,289.36,0.00,17.02,32070140.43,0.00,0.00,255.32,0.00,0.00,0.00,19794808.51,0.00,323.40,0.00,0.00,0.00,0.00,255.32,0.00,0.00,68.09,0.00,0.00
21841242.55,0.00,34.04,0.00,21.28,8.51,0.00,32731579.79,0.00,0.00,0.00,0.00,21840510.64,0.00,68.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.09,0.00
0.00,22502910.64,0.00,289.36,4.26,272.34,32731804.26,0.00,32731234.04,0.00,0.00,0.00,0.00,22502723.40,0.00,323.40,0.00,0.00,0.00,255.32,0.00,0.00,0.00,68.09
72.34,0.00,22502910.64,0.00,34.04,0.00,17.02,32731548.94,0.00,32731579.79,90.43,0.00,90.43,0.00,22502723.40,0.00,68.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,323.40,0.00,22502910.64,0.00,34.04,0.00,17.02,32731808.51,0.00,32731234.04,255.32,0.00,255.32,0.00,22502723.40,0.00,68.09,0.00,0.00,255.32,0.00,0.00,0.00
0.00,0.00,68.09,0.00,20457191.49,0.00,34.04,0.00,21.28,32731548.94,0.00,32731579.79,0.00,0.00,0.00,0.00,20457021.28,0.00,68.09,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,323.40,0.00,19795523.40,0.00,34.04,4.26,272.34,32731804.26,0.00,0.00,0.00,0.00,255.32,0.00,19794808.51,0.00,68.09,0.00,255.32,0.00,0.00
4.26,0.00,0.00,0.00,68.09,0.00,21841242.55,0.00,34.04,0.00,17.02,8.51,0.00,32731579.79,90.43,0.00,0.00,0.00,21840510.64,0.00,68.09,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,323.40,0.00,22502910.64,0.00,289.36,0.00,17.02,32731808.51,0.00,32731234.04,255.32,0.00,0.00,0.00,22502723.40,0.00,68.09,255.32,0.00
0.00,0.00,0.00,0.00,0.00,0.00,68.09,0.00,22502910.64,0.00,34.04,0.00,21.28,32731548.94,0.00,32731579.79,0.00,0.00,0.00,0.00,22502723.40,0.00,68.09,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,323.40,0.00,22502910.64,0.00,289.36,4.26,272.34,32731804.26,0.00,32731234.04,0.00,0.00,0.00,0.00,22502723.40,0.00,323.40
72.34,255.32,0.00,0.00,0.00,0.00,0.00,0.00,68.09,0.00,20457191.49,0.00,34.04,0.00,17.02,32731548.94,0.00,32731579.79,345.74,0.00,345.74,0.00,20457021.28,0.00
0.00,68.09,0.00,255.32,0.00,0.00,0.00,0.00,0.00,68.09,0.00,19795523.40,0.00,34.04,0.00,17.02,32731808.51,0.00,0.00,255.32,0.00,255.32,0.00,19794808.51
0.00,0.00,68.09,0.00,0.00,255.32,0.00,0.00,0.00,0.00,68.09,0.00,21841242.55,0.00,34.04,0.00,276.60,8.51,0.00,32069367.02,0.00,0.00,255.32,0.00
0.00,0.00,0.00,68.09,0.00,0.00,0.00,255.32,0.00,0.00,0.00,68.09,0.00,22502910.64,0.00,34.04,4.26,272.34,32070136.17,0.00,32069021.28,0.00,0.00,255.32
0.00,0.00,0.00,0.00,68.09,0.00,0.00,0.00,0.00,255.32,0.00,0.00,68.09,0.00,22502910.64,0.00,293.62,0.00,17.02,32069880.85,0.00,32069367.02,345.74,0.00
0.00,0.00,0.00,0.00,0.00,68.09,0.00,0.00,0.00,0.00,0.00,255.32,0.00,68.09,0.00,22502910.64,0.00,289.36,0.00,17.02,32070140.43,0.00,32069021.28,255.32
0.00,0.00,0.00,0.00,0.00,0.00,68.09,0.00,0.00,0.00,0.00,0.00,0.00,255.32,68.09,0.00,20457191.49,0.00,289.36,0.00,276.60,32069880.85,0.00,32069367.02
0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,323.40,0.00,19795523.40,0.00,289.36,4.26,272.34,32070136.17,0.00
