0.00,201.85,9.26,44.44,9.26,0.00,0.00,59.26,9.26,29.63,14.81
214.81,0.00,0.00,192.59,44.44,192.59,0.00,192.59,59.26,0.00,29.63
37.04,14.81,0.00,201.85,0.00,44.44,0.00,0.00,0.00,59.26,0.00
7.41,222.22,207.41,0.00,0.00,0.00,237.04,0.00,192.59,0.00,59.26
66.67,0.00,29.63,14.81,0.00,201.85,9.26,44.44,0.00,0.00,0.00
0.00,251.85,0.00,29.63,481.48,0.00,192.59,0.00,44.44,192.59,0.00
0.00,0.00,59.26,192.59,303.70,207.41,0.00,9.26,0.00,44.44,192.59
0.00,192.59,0.00,59.26,274.07,29.63,14.81,0.00,192.59,192.59,44.44
51.85,0.00,0.00,192.59,59.26,0.00,29.63,207.41,0.00,9.26,201.85
0.00,44.44,0.00,0.00,0.00,251.85,0.00,222.22,288.89,0.00,192.59
0.00,0.00,44.44,0.00,0.00,0.00,251.85,0.00,496.30,207.41,0.00
