0.00,27743790.54,114.86,0.00,114.86,0.00,0.00,25144756.76,114.86,0.00,108.11,0.00,0.00,0.00,0.00,0.00,114.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.97,0.00,0.00,0.00,0.00,0.00,114.86,0.00,86.49,0.00,0.00,0.00,43.24,0.00,21.62,10.81
27744664.86,0.00,27743351.35,324.32,0.00,324.32,0.00,0.00,23387351.35,324.32,0.00,108.11,0.00,0.00,0.00,0.00,0.00,324.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.32,172.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.49,0.00,0.00,0.00,43.24,0.00,21.62
27.03,27744335.14,0.00,27743790.54,0.00,0.00,0.00,0.00,0.00,23387351.35,0.00,0.00,108.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.49,0.00,0.00,0.00,43.24,0.00
5.41,345.95,27744659.46,0.00,27743351.35,0.00,0.00,324.32,0.00,0.00,23387351.35,324.32,0.00,108.11,0.00,0.00,0.00,0.00,0.00,324.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.32,0.00,172.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.49,0.00,0.00,0.00,43.24
48.65,0.00,21.62,27744335.14,0.00,27743790.54,114.86,0.00,0.00,0.00,0.00,23387351.35,0.00,0.00,108.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.49,0.00,0.00,0.00
0.00,367.57,0.00,21.62,27744664.86,0.00,27743351.35,324.32,0.00,0.00,0.00,0.00,23387351.35,324.32,0.00,108.11,0.00,0.00,0.00,0.00,324.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.32,0.00,0.00,172.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.49,0.00,0.00
0.00,0.00,43.24,0.00,27.03,27744335.14,0.00,439.19,0.00,0.00,0.00,0.00,0.00,22546162.16,0.00,0.00,108.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.49,0.00
25145664.86,0.00,0.00,367.57,5.41,345.95,335.14,0.00,28584540.54,0.00,0.00,0.00,0.00,0.00,25144756.76,324.32,0.00,108.11,0.00,0.00,0.00,324.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.32,0.00,0.00,0.00,172.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.49
91.89,23387545.95,0.00,0.00,43.24,0.00,21.62,28584832.43,0.00,28584979.73,114.86,0.00,114.86,0.00,0.00,23387351.35,0.00,0.00,108.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,410.81,23387545.95,0.00,0.00,43.24,0.00,21.62,28585162.16,0.00,28584540.54,324.32,0.00,324.32,0.00,0.00,23387351.35,0.00,0.00,108.11,0.00,0.00,324.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324.32,0.00,0.00,0.00,0.00,172.97,0.00,0.00,0.00,0.00,0.00,0.00
