0.00,37893604.55,91.82,0.00,77.27,0.00,18663709.09,0.00,77.27,0.00,58.18,0.00,0.00,0.00,29.09,0.00,91.82,7.27
37894352.73,0.00,37893309.09,232.73,218.18,0.00,218.18,19229600.00,0.00,0.00,218.18,58.18,0.00,0.00,0.00,29.09,0.00,14.55
18.18,37894130.91,0.00,37893604.55,14.55,0.00,0.00,0.00,19229600.00,0.00,0.00,0.00,58.18,0.00,0.00,0.00,29.09,0.00
3.64,232.73,37894349.09,0.00,37893309.09,232.73,0.00,218.18,0.00,19229600.00,0.00,218.18,0.00,58.18,0.00,0.00,0.00,29.09
32.73,218.18,14.55,37894130.91,0.00,37893604.55,91.82,0.00,218.18,0.00,17481454.55,0.00,218.18,0.00,58.18,0.00,0.00,0.00
0.00,29.09,0.00,232.73,37894352.73,0.00,0.00,14.55,0.00,218.18,0.00,16915563.64,0.00,218.18,0.00,58.18,0.00,0.00
18664334.55,218.18,29.09,0.00,18.18,7.27,0.00,36711350.00,232.73,0.00,0.00,0.00,18663709.09,0.00,218.18,0.00,58.18,0.00
0.00,19229760.00,0.00,247.27,3.64,14.55,36711614.55,0.00,36711054.55,232.73,0.00,0.00,0.00,19229600.00,0.00,218.18,0.00,58.18
61.82,0.00,19229760.00,0.00,247.27,0.00,232.73,36711396.36,0.00,36711350.00,91.82,0.00,77.27,0.00,19229600.00,0.00,218.18,0.00
0.00,58.18,0.00,19229760.00,0.00,247.27,0.00,232.73,36711618.18,0.00,36711054.55,14.55,0.00,0.00,0.00,19229600.00,0.00,218.18
0.00,218.18,58.18,0.00,17481600.00,0.00,29.09,0.00,18.18,36711396.36,0.00,36711350.00,232.73,0.00,218.18,0.00,17481454.55,0.00
0.00,0.00,0.00,276.36,0.00,16916174.55,0.00,29.09,3.64,14.55,36711614.55,0.00,0.00,232.73,0.00,218.18,0.00,16915563.64
3.64,0.00,0.00,0.00,276.36,0.00,18664334.55,0.00,29.09,0.00,232.73,7.27,0.00,36145459.09,91.82,0.00,218.18,0.00
0.00,0.00,0.00,0.00,0.00,276.36,0.00,19229760.00,0.00,29.09,0.00,232.73,36146192.73,0.00,36145163.64,14.55,0.00,218.18
0.00,0.00,0.00,0.00,0.00,0.00,276.36,0.00,19229760.00,0.00,247.27,0.00,18.18,36145970.91,0.00,36145459.09,232.73,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,276.36,0.00,19229760.00,0.00,247.27,3.64,14.55,36146189.09,0.00,36145163.64,232.73
18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276.36,0.00,17481600.00,0.00,247.27,0.00,232.73,36145970.91,0.00,36145459.09
0.00,14.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,276.36,0.00,16916174.55,0.00,247.27,0.00,232.73,36146192.73,0.00
