0.00,334.29,14.29,0.00,14.29,0.00,0.00,0.00,14.29,182.86,0.00,0.00,0.00,91.43,0.00,45.71,37.14
331.43,0.00,320.00,297.14,0.00,297.14,0.00,0.00,0.00,297.14,182.86,0.00,0.00,0.00,91.43,0.00,45.71
57.14,320.00,0.00,37.14,297.14,0.00,297.14,0.00,0.00,0.00,297.14,182.86,0.00,0.00,0.00,91.43,0.00
11.43,342.86,22.86,0.00,320.00,0.00,0.00,297.14,0.00,0.00,0.00,297.14,182.86,0.00,0.00,0.00,91.43
102.86,0.00,342.86,320.00,0.00,37.14,14.29,0.00,297.14,0.00,0.00,0.00,297.14,182.86,0.00,0.00,0.00
0.00,388.57,0.00,45.71,445.71,0.00,320.00,297.14,0.00,0.00,0.00,0.00,0.00,297.14,182.86,0.00,0.00
0.00,0.00,388.57,0.00,468.57,320.00,0.00,37.14,297.14,0.00,0.00,0.00,0.00,0.00,297.14,182.86,0.00
0.00,0.00,0.00,388.57,422.86,342.86,22.86,0.00,320.00,0.00,0.00,0.00,0.00,0.00,0.00,297.14,182.86
194.29,0.00,0.00,0.00,388.57,0.00,342.86,320.00,0.00,37.14,14.29,0.00,14.29,0.00,0.00,0.00,297.14
0.00,480.00,0.00,0.00,0.00,91.43,0.00,45.71,445.71,0.00,320.00,297.14,0.00,297.14,0.00,0.00,0.00
0.00,0.00,480.00,0.00,0.00,0.00,91.43,0.00,468.57,320.00,0.00,37.14,297.14,0.00,297.14,0.00,0.00
0.00,0.00,0.00,480.00,0.00,0.00,0.00,91.43,422.86,342.86,22.86,0.00,320.00,0.00,0.00,297.14,0.00
11.43,0.00,0.00,0.00,480.00,0.00,0.00,0.00,91.43,0.00,342.86,320.00,0.00,37.14,14.29,0.00,297.14
0.00,0.00,0.00,0.00,0.00,480.00,0.00,0.00,0.00,388.57,0.00,45.71,445.71,0.00,320.00,297.14,0.00
0.00,0.00,0.00,0.00,0.00,0.00,480.00,0.00,0.00,0.00,388.57,0.00,468.57,320.00,0.00,37.14,297.14
0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,0.00,0.00,0.00,388.57,422.86,342.86,22.86,0.00,320.00
34.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,0.00,0.00,0.00,388.57,0.00,342.86,320.00,0.00
