0.00,26496005.43,92.39,0.00,92.39,26495652.17,0.00,0.00,92.39,78.26,0.00,0.00,0.00,0.00,0.00,0.00,92.39,69.57,0.00,0.00,0.00,34.78,0.00,17.39,8.70
26496743.48,0.00,26495652.17,260.87,0.00,260.87,27172260.87,0.00,0.00,260.87,78.26,0.00,0.00,0.00,0.00,0.00,0.00,260.87,69.57,0.00,0.00,0.00,34.78,0.00,17.39
21.74,26496478.26,0.00,26496005.43,0.00,0.00,0.00,27172260.87,0.00,0.00,0.00,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.57,0.00,0.00,0.00,34.78,0.00
4.35,278.26,26496739.13,0.00,26495652.17,0.00,0.00,260.87,27172260.87,0.00,0.00,260.87,78.26,0.00,0.00,0.00,0.00,0.00,260.87,0.00,69.57,0.00,0.00,0.00,34.78
39.13,0.00,17.39,26496478.26,0.00,353.26,92.39,0.00,0.00,24405478.26,0.00,0.00,0.00,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.57,0.00,0.00,0.00
26496434.78,295.65,0.00,17.39,273.91,0.00,27172260.87,260.87,0.00,0.00,26495652.17,0.00,0.00,260.87,78.26,0.00,0.00,0.00,0.00,260.87,0.00,0.00,69.57,0.00,0.00
0.00,27172486.96,34.78,0.00,21.74,27172530.43,0.00,27172614.13,0.00,0.00,0.00,27172260.87,0.00,0.00,0.00,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.57,0.00
0.00,0.00,27172486.96,295.65,4.35,278.26,27172791.30,0.00,27172260.87,0.00,0.00,0.00,27172260.87,0.00,0.00,260.87,78.26,0.00,0.00,0.00,260.87,0.00,0.00,0.00,69.57
73.91,0.00,0.00,27172486.96,34.78,0.00,17.39,27172530.43,0.00,27172614.13,92.39,0.00,92.39,27172260.87,0.00,0.00,0.00,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,330.43,0.00,0.00,24406243.48,34.78,0.00,17.39,27172795.65,0.00,0.00,260.87,0.00,260.87,24405478.26,0.00,0.00,0.00,78.26,0.00,0.00,260.87,0.00,0.00,0.00
0.00,0.00,69.57,0.00,0.00,26496434.78,34.78,0.00,21.74,8.70,0.00,27172614.13,0.00,0.00,0.00,26495652.17,0.00,0.00,0.00,78.26,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,330.43,0.00,0.00,27172486.96,34.78,4.35,278.26,27172791.30,0.00,27172260.87,0.00,0.00,260.87,27172260.87,0.00,0.00,0.00,78.26,0.00,260.87,0.00,0.00
4.35,0.00,0.00,0.00,69.57,0.00,0.00,27172486.96,34.78,0.00,17.39,27172530.43,0.00,27172614.13,92.39,0.00,0.00,27172260.87,0.00,0.00,0.00,78.26,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,330.43,0.00,0.00,27172486.96,295.65,0.00,17.39,27172795.65,0.00,27172260.87,260.87,0.00,0.00,27172260.87,0.00,0.00,0.00,78.26,260.87,0.00
0.00,0.00,0.00,0.00,0.00,0.00,69.57,0.00,0.00,24406243.48,34.78,0.00,21.74,27172530.43,0.00,353.26,0.00,0.00,0.00,24405478.26,0.00,0.00,0.00,78.26,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,330.43,0.00,0.00,26496434.78,295.65,4.35,278.26,269.57,0.00,27172260.87,0.00,0.00,0.00,26495652.17,0.00,0.00,0.00,339.13
82.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.57,0.00,0.00,27172486.96,34.78,0.00,17.39,27172530.43,0.00,27172614.13,92.39,0.00,92.39,27172260.87,0.00,0.00,92.39
0.00,339.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.57,0.00,0.00,27172486.96,34.78,0.00,17.39,27172795.65,0.00,27172521.74,260.87,0.00,260.87,27172260.87,0.00,0.00
0.00,0.00,78.26,260.87,0.00,0.00,0.00,0.00,0.00,0.00,69.57,0.00,0.00,27172486.96,34.78,0.00,21.74,27172791.30,0.00,27172353.26,260.87,0.00,260.87,27172260.87,0.00
0.00,0.00,0.00,78.26,0.00,260.87,0.00,0.00,0.00,0.00,0.00,69.57,0.00,0.00,24406243.48,34.78,4.35,278.26,27172530.43,0.00,260.87,0.00,0.00,260.87,24405478.26
0.00,0.00,0.00,0.00,78.26,0.00,0.00,260.87,0.00,0.00,0.00,0.00,69.57,0.00,0.00,26496434.78,39.13,0.00,278.26,269.57,0.00,24405570.65,92.39,0.00,260.87
0.00,0.00,0.00,0.00,0.00,78.26,0.00,0.00,0.00,260.87,0.00,0.00,0.00,69.57,0.00,0.00,27172486.96,295.65,0.00,17.39,24406291.30,0.00,24405739.13,260.87,0.00
0.00,0.00,0.00,0.00,0.00,0.00,78.26,0.00,0.00,0.00,0.00,260.87,0.00,0.00,69.57,0.00,0.00,27172486.96,295.65,0.00,21.74,24406547.83,0.00,24405570.65,260.87
0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.26,0.00,0.00,0.00,0.00,0.00,260.87,0.00,69.57,0.00,0.00,27172486.96,295.65,4.35,278.26,24406286.96,0.00,24405739.13
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.26,0.00,0.00,0.00,0.00,0.00,0.00,260.87,73.91,0.00,0.00,24406243.48,295.65,0.00,278.26,24406547.83,0.00
